cluster_id,topic_zh,topic_en,source,current_status,existing_page,source_photo_url,gsc_top_queries,gsc_impressions_sum,gsc_best_position,priority,notes,source_text_path,photo_download_status,expected_photo_path,gap_list_verification,dfs_recommended_keyword,dfs_search_volume,dfs_keyword_difficulty,dfs_intent,dfs_related_keywords,hero_image_path,hero_image_prompt,hero_image_provider,hero_image_generated_date,hero_image_status
1,辦公室定期深層清潔,Office Deep Cleaning,original_site,exists_dedicated_page,office-deep-cleaning.html; blog-post-office-cleaning-company.html; blog-post-office-monthly-contract-cleaning.html,https://likeandsharecleaning.com/wp-content/uploads/2023/05/%E8%BE%A6%E5%85%AC%E5%AE%A4%E5%AE%9A%E6%9C%9F%E6%B8%85%E6%BD%94_2023-5-16_10_48_4.jpg,辦公室清潔(509);office 清潔(337);辦公室清潔公司(317);辦公室消毒(309);辦公室清潔服務(210);辦公室 深層 清潔(209);寫字樓清潔公司(67);寫字樓 包月 清潔(46);包月清潔(32),2500+,35.77,High,"BY FAR the largest opportunity cluster. Thousands of impressions but position 70-90 = page 7-9, essentially invisible. Needs a full sub-cluster: office cleaning company page, monthly-contract office cleaning, office disinfection, office carpet cleaning. Likely needs backlinks/GBP too, not content alone.",seo/scraped-content/office-deep-cleaning-cleancomhk.txt,pending_workflow_run,assets/service-photos/office-deep-cleaning/hero.jpeg,"Cross-checked: exactly 11 CSV rows are tagged source=original_site (clusters 1,6-15), matching the claimed 11 original categories. Could not independently browse the live site from this session (outbound internet blocked here); live verification + full category/photo discovery deferred to seo-source-photos.yml workflow run.",,,None,,,office-cleaning-company:images/blog/office-cleaning-company-hero.jpg; office-monthly-contract-cleaning:images/blog/office-monthly-contract-cleaning-hero.jpg,"office-cleaning-company:Editorial photography style, wide shot: a professional Hong Kong office cleaning team member in a polo-shirt uniform wiping down a glass meeting-room partition and modern office desks in a bright, clean corporate office, city skyline visible through the window, natural daylight, shallow depth of field. Overlay large bold Traditional Chinese text in the upper third of the frame reading ""辦公室清潔公司點揀好"" in a clean modern sans-serif font, white with a subtle dark outline for readability, magazine cover layout, high quality, sharp focus.; office-monthly-contract-cleaning:Editorial photography style, medium shot: a professional Hong Kong cleaning technician in a polo-shirt uniform mopping a polished office floor in a bright modern open-plan office with rows of desks and a wall calendar visible in the background, natural daylight, shallow depth of field. Overlay large bold Traditional Chinese text in the upper third of the frame reading 「寫字樓包月清潔」 in a clean modern sans-serif font, white with a subtle dark outline for readability, magazine cover layout, high quality, sharp focus.",office-cleaning-company:replicate/google/nano-banana-pro; office-monthly-contract-cleaning:replicate/google/nano-banana-pro,office-cleaning-company:2026-07-05; office-monthly-contract-cleaning:2026-07-05,office-cleaning-company:succeeded; office-monthly-contract-cleaning:succeeded
2,浴室清潔,Bathroom Cleaning,expansion_existing_blog,exists_blog_only_top_performer,blog-post-bathroom-cleaning.html; blog-post-bathroom-disinfection.html; blog-post-bathroom-drain-cleaning.html; blog-post-bathroom-cleaning-price-guide.html,https://likeandsharecleaning.com/wp-content/uploads/2023/05/(none - not in original 11 categories),廁所地板清潔(6);浴室牆壁清潔(6);浴室消毒(4);浴室清潔(127);浴室(58);浴室清洗(6);浴室 清潔(6),1900+,6,High,"PROOF OF CONCEPT - only page with real clicks (23 clicks/1681 impr, pos 10.4). Double down: add bathroom drain, tile grout, toilet sub-pages linking back to this pillar.",seo/scraped-content/bathroom-cleaning-cleancomhk.txt,needs_own_photo_not_in_original_11,,,浴室寶清潔,210,0,transactional,panasonic浴室寶清潔方法; panasonic 浴室 寶 清潔 方法; panasonic 浴室寶 清潔 方法; panasonic 浴室寶 清潔方法; 浴室清潔劑,bathroom-disinfection:images/blog/bathroom-disinfection-hero.jpg; bathroom-drain-cleaning:images/blog/bathroom-drain-cleaning-hero.jpg; bathroom-cleaning-price-guide:images/blog/bathroom-cleaning-price-guide-hero.jpg,"bathroom-disinfection:Editorial photography style, close-up shot: a professional Hong Kong cleaning technician's gloved hand spraying disinfectant onto a bathroom sink faucet and countertop in a bright, clean modern bathroom, visible mist droplets, shallow depth of field, natural daylight. Overlay large bold Traditional Chinese text in the upper third of the frame reading 「浴室消毒完整指南」 in a clean modern sans-serif font, white with a subtle dark outline for readability, magazine cover layout, high quality, sharp focus.; bathroom-drain-cleaning:Editorial photography style, close-up shot: a professional Hong Kong cleaning technician's gloved hand using a metal drain snake tool to clear a clogged shower floor drain in a bright, clean modern bathroom, water and hair visible near the drain, shallow depth of field, natural daylight. Overlay large bold Traditional Chinese text in the upper third of the frame reading 「去水渠清潔指南」 in a clean modern sans-serif font, white with a subtle dark outline for readability, magazine cover layout, high quality, sharp focus.; bathroom-cleaning-price-guide:Editorial photography style, medium shot: a professional Hong Kong cleaning technician holding a clipboard with a price quote while standing in a sparkling clean, bright modern bathroom, calculator and price list visible on the clipboard, shallow depth of field, natural daylight. Overlay large bold Traditional Chinese text in the upper third of the frame reading 「浴室深層清潔收費指南」 in a clean modern sans-serif font, white with a subtle dark outline for readability, magazine cover layout, high quality, sharp focus.",bathroom-disinfection:replicate/google/nano-banana-pro; bathroom-drain-cleaning:replicate/google/nano-banana-pro; bathroom-cleaning-price-guide:replicate/google/nano-banana-pro,bathroom-disinfection:2026-07-05; bathroom-drain-cleaning:2026-07-05; bathroom-cleaning-price-guide:2026-07-05,bathroom-disinfection:succeeded; bathroom-drain-cleaning:succeeded; bathroom-cleaning-price-guide:succeeded
3,廚房清潔,Kitchen Deep Cleaning,expansion_existing_blog,exists_blog_only_strong,blog-post-kitchen-cleaning.html; blog-post-range-hood-cleaning.html; blog-post-kitchen-sink-cleaning.html,(none),"香港 深層廚房清潔(52, pos 6.6 - excellent);廚房清潔(108);廚房水槽清潔(6)",600+,6.6,High,"Second best performer. Already ranks pos 6-13 with zero dedicated service page - promote to full pillar + service page, strong quick-win.",seo/scraped-content/kitchen-cleaning-cleancomhk.txt,needs_own_photo_not_in_original_11,,,廚房清潔劑,170,0,transactional,廚房清潔; 廚房去油清潔劑推薦; 威猛先生廚房清潔劑; 萬潔靈廚房多用途清潔劑; 廚房重油污清潔劑,range-hood-cleaning:images/blog/range-hood-cleaning-hero.jpg; kitchen-sink-cleaning:images/blog/kitchen-sink-cleaning-hero.jpg,"range-hood-cleaning:Editorial photography style, close-up shot: a professional Hong Kong cleaning technician's gloved hands disassembling and scrubbing a greasy kitchen range hood filter mesh over a sink, visible thick grease residue and soap suds, shallow depth of field, warm kitchen lighting. Overlay large bold Traditional Chinese text in the upper third of the frame reading 「抽油煙機拆洗服務」 in a clean modern sans-serif font, white with a subtle dark outline for readability, magazine cover layout, high quality, sharp focus.; kitchen-sink-cleaning:Editorial photography style, close-up shot: a professional Hong Kong cleaning technician's gloved hand scrubbing a stainless steel kitchen sink with a sponge and spray bottle, water droplets and suds visible, bright modern kitchen, shallow depth of field, natural daylight. Overlay large bold Traditional Chinese text in the upper third of the frame reading 「廚房水槽清潔指南」 in a clean modern sans-serif font, white with a subtle dark outline for readability, magazine cover layout, high quality, sharp focus.",range-hood-cleaning:replicate/google/nano-banana-pro; kitchen-sink-cleaning:replicate/google/nano-banana-pro,range-hood-cleaning:2026-07-05; kitchen-sink-cleaning:2026-07-05,range-hood-cleaning:succeeded; kitchen-sink-cleaning:succeeded
4,除霉/除霉菌 (Mold Removal),Mold/Mildew Removal,gsc_new_opportunity,exists_dedicated_page,blog-post-mold-removal.html; blog-post-bathroom-tile-mold.html,(none - net-new topic not on original site),除霉公司(153);除霉服務價錢(152);除霉服務(152);除霉菌公司(24);除霉公司推薦(10),490+,40.27,High,"Net-new topical cluster not on original site at all. Sizeable demand, zero competition on-site, and pairs naturally with the bathroom-cleaning pillar (mold = bathroom pain point). Build as new pillar.",,needs_own_photo_net_new_topic,,,萬潔靈除 霉,590,0,transactional,萬潔靈除霉; 除 霉 噴霧; 除霉噴霧; 除 霉; 除霉,images/blog/mold-removal-hero.jpg; bathroom-tile-mold:images/blog/bathroom-tile-mold-hero.jpg,"Editorial photography style: a professional Hong Kong cleaning technician wearing rubber gloves, carefully using a spray bottle and small brush to remove black mold from bathroom tile grout, in a bright clean modern bathroom. Focused, attentive expression, shot from a slightly low angle with shallow depth of field, natural daylight. Overlay large bold Traditional Chinese text in the upper third of the frame reading '除霉服務完整指南' in a clean modern sans-serif font, white with a subtle dark outline for readability against the background, magazine cover layout, high quality, sharp focus.; bathroom-tile-mold:Editorial photography style, close-up shot: a professional Hong Kong cleaning technician's gloved hand using a small scrub brush and spray bottle to clean black mold from white bathroom tile grout lines, water droplets visible, bright bathroom lighting, shallow depth of field focusing on the tile grout detail. Overlay large bold Traditional Chinese text in the upper third of the frame reading ""浴室磁磚縫隙除霉攻略"" in a clean modern sans-serif font, white with a subtle dark outline for readability, magazine cover layout, high quality, sharp focus.",replicate/google/nano-banana-pro; bathroom-tile-mold:replicate/google/nano-banana-pro,2026-07-05; bathroom-tile-mold:2026-07-05,succeeded; bathroom-tile-mold:succeeded
5,廁所清潔 (Toilet Cleaning specific),Toilet Cleaning,gsc_new_opportunity,exists_dedicated_page,blog-post-toilet-cleaning.html,(none),"廁所清潔(20, pos 11.75 - good);洗廁所(24);廁所清潔步驟(1, pos 4 - excellent)",60+,4,Medium-High,"Sub-topic of bathroom cluster, already showing good positions on tiny content - easy cluster page to add under bathroom pillar.",,needs_own_photo_not_in_original_11,,,廁所清潔劑,260,0,transactional,洗廁所清潔劑; 廁所清潔; 洗廁所清潔劑推薦; 廁所水箱清潔; 清潔廁所,images/blog/toilet-cleaning-hero.jpg,"Editorial photography style: a professional Hong Kong cleaning technician wearing yellow rubber gloves, using a toilet brush and spray disinfectant to clean a modern white toilet bowl in a bright clean bathroom. Focused, careful expression, shot from a slightly low angle with shallow depth of field, natural daylight, tiled wall in soft focus background. Overlay large bold Traditional Chinese text in the upper third of the frame reading '廁所清潔完整指南' in a clean modern sans-serif font, white with a subtle dark outline for readability, magazine cover layout, high quality, sharp focus.",replicate/google/nano-banana-pro,2026-07-05,succeeded
6,裝修後清潔/入伙前清潔,Post-Renovation / Move-in Cleaning,original_site,exists_blog_only,blog-post-renovation-cleaning.html,https://likeandsharecleaning.com/wp-content/uploads/2023/05/%E8%A3%9D%E4%BF%AE%E5%BE%8C%E6%B8%85%E6%BD%94_2023-5-16_10_45_59.jpg,裝修後清潔(104);裝修 後 清潔(4);裝修清潔(4);裝修後完整清潔(1),115+,75.75,Medium,"On original site's 11 categories but only a blog post exists, no dedicated service/pillar page on clean.com.hk.",seo/scraped-content/renovation-cleaning-cleancomhk.txt,pending_workflow_run,assets/service-photos/post-renovation-cleaning/hero.jpeg,,裝修後清潔,5400,0,informational,裝修後清潔邊間好; 裝修後清潔服務; 裝修後清潔收費; 裝修後清潔價錢; 裝修 後 清潔 價錢,,,,,
7,家居定期大掃除,Home Spring / Regular Cleaning,original_site,missing_entirely,none,https://likeandsharecleaning.com/wp-content/uploads/2023/05/%E5%AE%B6%E5%B1%85%E5%AE%9A%E6%9C%9F%E6%B8%85%E6%BD%94_2023-5-16_10_38_23.jpg,家居清潔 消毒(107);家居清潔消毒(65);家居消毒(10);家居深層清潔服務(2),185+,22,Medium,One of the 11 original categories - no page at all on clean.com.hk currently.,,pending_workflow_run,assets/service-photos/home-regular-cleaning/hero.jpeg,,,,None,,,,,,,
8,霧化消毒 (Fogging Disinfection),Fogging / General Disinfection,original_site,exists_blog_only,blog-post-disinfection-guide.html,https://likeandsharecleaning.com/wp-content/uploads/2023/05/%E6%B6%88%E6%AF%92_2023-5-16_10_40_30.jpg,"浴室消毒(4, pos 6 - excellent);消毒公司 價錢(50);消毒公司(5);消毒(15);全屋消毒(2)",76+,6,Medium,Blog exists but no dedicated disinfection service page; strong position on bathroom-disinfection long-tail suggests demand is there.,seo/scraped-content/disinfection-guide-cleancomhk.txt,pending_workflow_run,assets/service-photos/fogging-disinfection/hero.jpeg,,air guard ag-800霧化消毒機,70,0,transactional,霧 化 消毒; 霧化 消毒; 霧化消毒; 二氧化氯消毒噴霧; 霧化式消毒劑,,,,,
9,滅蟲 / 高鐵蚊,Pest Control / Mosquito,original_site,exists_blog_only,blog-post-hsr-mosquito-alert.html,https://likeandsharecleaning.com/wp-content/uploads/2023/05/%E6%BB%85%E8%9F%B2_2023-5-16_10_44_34.jpg,"高鐵 蚊(3, pos 7);高鐵蚊(3, pos 11.3)",41,7,Medium,Blog already ranks pos 7-11 (decent for a niche news-hook topic). No dedicated pest-control service page exists yet.,seo/scraped-content/hsr-mosquito-alert-cleancomhk.txt,pending_workflow_run,assets/service-photos/pest-control-mosquito/hero.jpeg,,滅蟲公司,1600,0,commercial,滅蟲; 滅蟲公司收費; 滅蟲公司 邊間好; 滅蟲公司邊間好; 滅蟲公司 邊間 好,,,,,
10,機洗地磚地板石地,Tile / Stone Floor Machine Cleaning,original_site,exists_dedicated_page,machine-floor-cleaning.html,https://likeandsharecleaning.com/wp-content/uploads/2023/05/%E6%B4%97%E5%9C%B0_2023-5-16_10_24_42.jpg,地板打蠟公司(88);地板打蠟收費(7);洗地打蠟(2),97+,59.86,Medium,Page exists but ranks poorly; part of floor-care cluster alongside carpet cleaning.,seo/scraped-content/machine-floor-cleaning-cleancomhk.txt,already_on_disk_pending_rename,assets/service-photos/tile-stone-floor-cleaning/hero.jpeg,,,,None,,,,,,,
11,上門機洗地氈,Carpet Machine Cleaning,original_site,exists_dedicated_page,carpet-cleaning-service.html; carpet-cleaning-pillar.html,https://likeandsharecleaning.com/wp-content/uploads/2023/05/%E6%B4%97%E5%9C%B0%E6%B0%88_2023-5-16_10_32_49.jpg,地毯清潔(431);地氈清潔(157);地毯消毒(140);地氈清潔公司(122),850+,45.17,Medium,"Second largest impression cluster after office cleaning. Already has dedicated + pillar page but still ranks pos 45-72 - needs cluster expansion (carpet disinfection, carpet stain removal) and stronger internal linking.",seo/scraped-content/carpet-cleaning-service-cleancomhk.txt;seo/scraped-content/carpet-cleaning-pillar-cleancomhk.txt,pending_workflow_run,assets/service-photos/carpet-machine-cleaning/hero.jpeg,,,,None,,,,,,,
12,高溫蒸氣消毒,Steam Sterilization,original_site,missing_entirely,none,https://likeandsharecleaning.com/wp-content/uploads/2023/05/%E9%AB%98%E6%BA%AB%E8%92%B8%E6%B0%A3%E6%B6%88%E6%AF%92_2023-5-16_10_42_19.jpg,(no distinct GSC query volume observed),0,-,Low,"One of 11 original categories, no page on clean.com.hk, low observed direct demand - fold into disinfection cluster rather than standalone pillar.",,pending_workflow_run,assets/service-photos/steam-sterilization/hero.jpeg,,高溫蒸氣消毒機,30,40,transactional,高溫蒸氣 消毒; 高溫蒸氣消毒,,,,,
13,清潔招牌及玻璃門窗,Window/Glass/Signage Cleaning,original_site,missing_entirely,none,(check original site gallery),(no GSC query volume observed),0,-,Low,"Original category, no page yet, no search demand signal in current GSC data - low priority, add for completeness/topical authority only.",,unknown_url_pending_wp_media_scrape,assets/service-photos/window-glass-signage-cleaning/hero.jpeg,,,,None,,,,,,,
14,吸水服務,Water Extraction,original_site,missing_entirely,none,(check original site gallery),(no GSC query volume observed),0,-,Low,"Original category, no page yet, no search demand signal - low priority.",,unknown_url_pending_wp_media_scrape,assets/service-photos/water-extraction/hero.jpeg,,,,None,,,,,,,
15,清洗隔油池,Grease Trap Cleaning,original_site,missing_entirely,none,(check original site gallery),洗隔油池價錢(1),1,85,Low,"B2B/restaurant niche, tiny observed volume but zero competition - cheap long-tail add once main clusters are built.",,unknown_url_pending_wp_media_scrape,assets/service-photos/grease-trap-cleaning/hero.jpeg,,清洗隔油池,50,0,transactional,隔油池清洗; 清洗隔油池方法; 清洗隔油池 方法; 清洗 隔 油池 公司,,,,,
