Date,Clicks,Impressions,CTR,Position
2026-04-03,0,25,0%,31.8
2026-04-04,0,33,0%,27.9
2026-04-05,0,17,0%,32.9
2026-04-06,0,50,0%,41.9
2026-04-07,0,32,0%,18.6
2026-04-08,2,60,3.33%,23.6
2026-04-09,0,30,0%,19.9
2026-04-10,0,25,0%,28.1
2026-04-11,2,28,7.14%,24.8
2026-04-12,0,48,0%,25
2026-04-13,0,60,0%,51.1
2026-04-14,0,29,0%,21.2
2026-04-15,0,38,0%,26
2026-04-16,1,62,1.61%,26.7
2026-04-17,2,86,2.33%,50.4
2026-04-18,0,66,0%,51.3
2026-04-19,0,71,0%,47.6
2026-04-20,0,121,0%,59.6
2026-04-21,1,57,1.75%,47.9
2026-04-22,0,76,0%,52.7
2026-04-23,1,126,0.79%,41.2
2026-04-24,0,85,0%,49.2
2026-04-25,1,63,1.59%,43.1
2026-04-26,1,94,1.06%,48.8
2026-04-27,0,125,0%,47.6
2026-04-28,0,70,0%,46.6
2026-04-29,1,62,1.61%,31.6
2026-04-30,0,66,0%,51.1
2026-05-01,1,65,1.54%,39.4
2026-05-02,2,44,4.55%,46
2026-05-03,1,82,1.22%,52.1
2026-05-04,0,52,0%,45.5
2026-05-05,1,69,1.45%,42.4
2026-05-06,1,66,1.52%,46.2
2026-05-07,1,73,1.37%,43.6
2026-05-08,0,57,0%,32.3
2026-05-09,0,69,0%,40.6
2026-05-10,0,103,0%,45.3
2026-05-11,0,108,0%,46.5
2026-05-12,1,84,1.19%,41.8
2026-05-13,0,71,0%,43
2026-05-14,0,98,0%,54.4
2026-05-15,1,102,0.98%,42.9
2026-05-16,0,97,0%,50.9
2026-05-17,0,153,0%,54.1
2026-05-18,2,90,2.22%,49.1
2026-05-19,0,126,0%,50.6
2026-05-20,2,107,1.87%,44.5
2026-05-21,0,81,0%,28.9
2026-05-22,0,116,0%,48.9
2026-05-23,0,99,0%,50.3
2026-05-24,0,127,0%,59.4
2026-05-25,0,149,0%,47.9
2026-05-26,2,107,1.87%,47.3
2026-05-27,0,99,0%,46.3
2026-05-28,2,98,2.04%,59.6
2026-05-29,2,100,2%,48
2026-05-30,0,94,0%,53.6
2026-05-31,0,122,0%,47.5
2026-06-01,2,94,2.13%,49
2026-06-02,0,70,0%,48.2
2026-06-03,2,89,2.25%,49.4
2026-06-04,2,99,2.02%,45.3
2026-06-05,0,96,0%,44.7
2026-06-06,0,103,0%,40.7
2026-06-07,0,128,0%,39.5
2026-06-08,0,127,0%,38.4
2026-06-09,0,103,0%,40.7
2026-06-10,0,134,0%,35.9
2026-06-11,3,135,2.22%,51.4
2026-06-12,0,132,0%,47.3
2026-06-13,1,149,0.67%,40.6
2026-06-14,1,131,0.76%,40.1
2026-06-15,1,150,0.67%,47.4
2026-06-16,1,131,0.76%,36.3
2026-06-17,0,131,0%,42.3
2026-06-18,1,131,0.76%,45.6
2026-06-19,2,142,1.41%,36.2
2026-06-20,3,126,2.38%,44.5
2026-06-21,0,120,0%,42.8
2026-06-22,1,123,0.81%,48.7
2026-06-23,0,130,0%,40.9
2026-06-24,1,121,0.83%,43.8
2026-06-25,3,129,2.33%,41.9
2026-06-26,0,148,0%,33.7
2026-06-27,2,148,1.35%,39.8
2026-06-28,0,101,0%,44.9
2026-06-29,0,140,0%,52.6
2026-06-30,0,155,0%,49.1
2026-07-01,1,144,0.69%,42.2
2026-07-02,4,214,1.87%,30.1